iter	RMSE
0	110791.5358
1	106800.4943
2	102930.2557
3	99551.19851
4	96359.68619
5	93432.54332
6	90617.03621
7	88022.60906
8	85602.58221
9	83364.1534
10	81415.46612
11	79635.2832
12	77859.26255
13	76218.66703
14	74762.17068
15	73441.25434
16	72137.54353
17	71070.43241
18	70000.13453
19	69022.37258
20	68110.57887
21	67290.61846
22	66595.00439
23	65886.27964
24	65277.04774
25	64706.79035
26	64093.2378
27	63609.36566
28	63122.99999
29	62537.72002
30	62084.35375
31	61593.3135
32	61217.01464
33	60842.91564
34	60482.32929
35	60193.37517
36	59816.72177
37	59463.33195
38	59149.34745
39	58892.40615
40	58542.55792
41	58310.67275
42	58010.88392
43	57814.84649
44	57624.51323
45	57412.46955
46	57164.38817
47	56975.58654
48	56844.61834
49	56579.17062
50	56388.12811
51	56243.18368
52	56084.63289
53	55922.71601
54	55756.13295
55	55647.4463
56	55514.24856
57	55329.04846
58	55131.62437
59	55042.47537
60	54959.26702
61	54834.01749
62	54693.90401
63	54569.12546
64	54386.05321
65	54281.59553
66	54192.30181
67	53974.93271
68	53761.2356
69	53701.58993
70	53634.09114
71	53563.41609
72	53440.9631
73	53288.33208
74	53227.75728
75	53115.58253
76	53069.12542
77	53018.3343
78	52954.86931
79	52901.75474
80	52852.13551
81	52802.11009
82	52739.95505
83	52638.85116
84	52588.67095
85	52535.26537
86	52481.13479
87	52323.32778
88	52250.64263
89	52162.45396
90	52092.02143
91	52017.09354
92	51979.02901
93	51887.48292
94	51808.58131
95	51766.02414
96	51732.86442
97	51676.36751
98	51602.55468
99	51525.86603
100	51514.86397
101	51469.15405
102	51347.64223
103	51307.20786
104	51255.77199
105	51223.98833
106	51187.8489
107	51126.29302
108	51047.7196
109	50978.40919
110	50917.23889
111	50886.87513
112	50842.41329
113	50780.21527
114	50727.05679
115	50650.98597
116	50597.55149
117	50514.12775
118	50436.94072
119	50371.92718
120	50328.07203
121	50296.74081
122	50171.73379
123	50093.29291
124	50047.13933
125	49955.7178
126	49912.85614
127	49887.12375
128	49848.73102
129	49827.42062
130	49783.99014
131	49733.21292
132	49670.62155
133	49635.72958
134	49599.65174
135	49533.69987
136	49498.29988
137	49465.70048
138	49424.17629
139	49408.24177
140	49325.8971
141	49277.21039
142	49203.57188
143	49156.49945
144	49123.29476
145	49096.99195
146	49028.36515
147	48987.24279
148	48936.29361
149	48863.32008
150	48835.82685
151	48783.85681
152	48742.04149
153	48645.17734
154	48611.37503
155	48575.82808
156	48534.28023
157	48495.54613
158	48432.66759
159	48385.54781
160	48328.46284
161	48284.45542
162	48258.32628
163	48209.89634
164	48189.42347
165	48168.13019
166	48122.57898
167	48058.48387
168	47999.51782
169	47948.32376
170	47916.75755
171	47879.89292
172	47817.14875
173	47787.70986
174	47732.36842
175	47657.13584
176	47614.65681
177	47559.5623
178	47519.07433
179	47487.95217
180	47454.502
181	47424.13932
182	47369.71187
183	47339.39965
184	47279.19203
185	47251.77538
186	47210.22167
187	47119.51686
188	47070.47899
189	47025.48618
190	46969.01275
191	46945.19224
192	46907.19238
193	46869.16618
194	46801.6517
195	46736.46574
196	46707.60085
197	46664.57982
198	46649.99426
199	46606.60692
200	46579.7877
201	46497.07279
202	46462.68252
203	46411.69148
204	46349.02271
205	46326.38363
206	46283.01816
207	46259.0487
208	46210.81336
209	46180.91211
