iter	Passed	Remaining
0	139	139131
1	142	71235
2	146	48694
3	149	37335
4	154	30711
5	158	26272
6	162	23017
7	166	20611
8	170	18730
9	174	17307
10	178	16069
11	182	15031
12	186	14194
13	191	13479
14	196	12915
15	200	12359
16	204	11840
17	209	11435
18	214	11059
19	218	10716
20	222	10385
21	227	10093
22	231	9832
23	235	9587
24	240	9385
25	244	9173
26	249	8977
27	253	8790
28	257	8622
29	262	8484
30	266	8342
31	271	8203
32	275	8079
33	279	7954
34	284	7843
35	288	7725
36	293	7633
37	297	7542
38	302	7446
39	306	7351
40	311	7282
41	315	7197
42	319	7120
43	324	7053
44	328	6975
45	332	6903
46	337	6838
47	341	6772
48	345	6715
49	350	6663
50	354	6602
51	359	6552
52	364	6505
53	368	6454
54	372	6400
55	376	6352
56	381	6312
57	386	6275
58	391	6236
59	395	6200
60	400	6163
61	405	6127
62	409	6088
63	413	6054
64	418	6024
65	423	5993
66	428	5960
67	432	5927
68	436	5894
69	441	5863
70	445	5835
71	450	5806
72	454	5774
73	459	5744
74	463	5712
75	467	5688
76	472	5660
77	476	5637
78	481	5612
79	486	5589
80	490	5562
81	494	5534
82	498	5512
83	503	5486
84	507	5465
85	511	5439
86	516	5416
87	521	5400
88	525	5379
89	530	5359
90	534	5335
91	538	5313
92	542	5291
93	547	5272
94	551	5253
95	555	5235
96	560	5215
97	564	5193
98	568	5177
99	573	5159
100	576	5131
101	580	5113
102	585	5097
103	589	5080
104	593	5062
105	598	5046
106	602	5027
107	606	5011
108	610	4994
109	615	4976
110	619	4958
111	623	4941
112	627	4924
113	631	4909
114	635	4891
115	639	4874
116	643	4858
117	648	4844
118	652	4830
119	656	4817
120	661	4803
121	665	4787
122	669	4773
123	674	4766
124	680	4760
125	684	4748
126	688	4734
127	692	4720
128	697	4710
129	702	4699
130	706	4686
131	711	4676
132	715	4663
133	720	4653
134	724	4643
135	729	4633
136	734	4624
137	738	4612
138	742	4601
139	747	4589
140	751	4578
141	755	4567
142	760	4556
143	764	4545
144	768	4532
145	772	4520
146	777	4508
147	781	4499
148	786	4489
149	790	4481
150	795	4472
151	800	4467
152	806	4463
153	812	4463
154	816	4452
155	821	4444
156	826	4436
157	830	4427
158	835	4418
159	839	4408
160	844	4398
161	848	4390
162	853	4381
163	858	4374
164	862	4365
165	867	4358
166	872	4353
167	878	4350
168	883	4342
169	888	4336
170	892	4328
171	897	4321
172	902	4314
173	907	4305
174	915	4314
175	919	4305
176	924	4297
177	928	4289
178	933	4279
179	937	4269
180	941	4261
181	946	4253
182	950	4244
183	955	4237
184	959	4229
185	964	4220
186	968	4211
187	973	4203
188	977	4195
189	982	4188
190	987	4180
191	991	4172
192	995	4163
193	1000	4154
194	1004	4146
195	1009	4139
196	1013	4130
197	1017	4122
198	1022	4114
199	1026	4105
200	1031	4099
201	1035	4091
202	1039	4082
203	1044	4076
204	1049	4068
205	1053	4061
206	1058	4054
207	1062	4045
208	1066	4037
209	1071	4030
210	1075	4023
211	1080	4016
212	1085	4010
213	1090	4004
